country,tourism_gdp_share_2019,champion_model,2025_P5,2025_median,2025_P95,risk_ratio
Albania,15.771468843676184,Linear Trend,717245687.1206985,2040172287.5651398,4294674751.789659,0.35156133209548746
Angola,0.5571387170784828,"ARIMA(1,1,1)",562783.0450356847,25477215.978869386,140258308.5068368,0.02208966024790357
Armenia,11.402943461179008,Linear Trend,70333810.29051925,608470679.662896,1533061202.9551222,0.11559112483363287
Aruba,62.10615153788454,Holt-Winters,518492510.70327955,1299894502.7825575,1810384763.3918924,0.3988727620536845
Australia,3.443109022045191,Holt-Winters,15227869666.515768,35232123720.822876,50631395476.295815,0.432215491384523
Austria,5.852134824030208,Linear Trend,8349640251.725289,17471557660.778328,24140679121.762276,0.4778990181550491
Azerbaijan,4.160107500099029,Random Forest,52609261.698479384,589531500.1576502,2067949183.3273687,0.08923910204019772
"Bahamas, The",31.88334536961632,Holt-Winters,162098580.72568825,1192454370.9519696,1753971376.3999069,0.1359369252814935
Bahrain,9.543398211467649,Linear Trend,115757260.44737034,967395103.8972993,1792761801.7953243,0.11965872060032606
Bangladesh,0.1113225402309425,Holt-Winters,127975974.662587,317827984.10578394,618259636.8149393,0.40265798187233337
Barbados,18.50288029897614,"ARIMA(1,1,1)",789214008.0212744,1146928551.4610982,1656818994.653768,0.6881108740521603
Belarus,2.002790777246682,Linear Trend,245283418.81610712,905793902.706536,2138229167.2297616,0.27079385065763173
Belgium,1.9713956861424724,"ARIMA(1,1,1)",4104716314.333322,7529775949.592695,12236275962.802536,0.5451312684217857
Benin,1.6736051317292486,Linear Trend,109575430.12156282,298886362.1674481,692790962.8804928,0.3666123449961035
Bhutan,4.386472225928696,Random Forest,50150631.73691223,148296770.36318907,351605381.82019114,0.3381775045679677
Bolivia,2.3890262554767325,"ARIMA(1,1,1)",53336260.01252988,357379671.57956135,739877538.4095834,0.1492425682098595
Bosnia and Herzegovina,5.980683489246939,Linear Trend,144309277.92574352,594241495.6002536,975911343.1563543,0.2428461812145485
Botswana,4.259260651720745,Linear Trend,48261442.72934986,254942057.43699437,508899893.1597776,0.1893035743671954
Brazil,0.3270719360233293,Random Forest,1531120470.410462,3928018964.9270296,6407795214.152948,0.3897945717884041
Brunei Darussalam,1.4106220218736734,Holt-Winters,57947103.47979553,191703308.02646494,500111771.68376344,0.302274927210937
Bulgaria,7.0404756826796895,Holt-Winters,577362595.7403038,2292277022.5147915,4355461563.389155,0.2518729586648719
Burkina Faso,1.0790370633552802,"ARIMA(1,1,1)",134939236.01814035,279153808.9017469,533797958.8564301,0.4833866911901409
Burundi,0.1436046161609007,Random Forest,1215853.2977540565,4708636.247457413,13460416.36790877,0.25821771609786115
Cabo Verde,25.175639673450384,Random Forest,49507786.82706433,270385254.9206214,518550021.1879039,0.18310091222096642
Cambodia,14.47989203365642,Holt-Winters,284440142.42740536,2199210327.2517366,3862916995.2941594,0.12933739847559672
Cameroon,1.716759510605514,Linear Trend,19789960.739290673,613292706.2323058,2966684657.0250773,0.0322683777879376
Canada,1.146625637297383,"ARIMA(1,1,1)",15592903888.180998,22147703818.121704,31251263731.616184,0.7040415573655344
Cayman Islands,16.223776071249617,Holt-Winters,609793241.3568554,1099640255.3604722,1890552510.3203604,0.5545388488501265
Central African Republic,0.7022910408514571,"ARIMA(1,1,1)",3117084.2397576207,17510536.047576293,57867388.83273163,0.17801192557946102
Chad,0.2209466023965056,Random Forest,15236682.324714107,27460288.399018936,47195266.606361695,0.5548624290944615
Chile,1.1782881966744392,"ARIMA(1,1,1)",243762723.55227306,1226372347.1742997,1860490905.8912954,0.19876730269883358
China,0.194363173754971,Random Forest,19212577605.103638,31480030185.996834,50205479906.776375,0.6103100121438229
Colombia,2.100103480540493,Holt-Winters,479458034.2873409,2789139840.687208,4268374465.7334137,0.17190175526272952
Comoros,6.083582318741454,Linear Trend,3454511.662884706,22990172.500813313,50936928.568103954,0.15026036289038272
"Congo, Rep.",0.3069407836220797,Random Forest,6940620.400219777,53926606.144616276,197173439.03323483,0.12870493614241083
Costa Rica,6.647244405679826,"ARIMA(1,1,1)",418348195.14021677,1860551896.5013947,2934646756.3577747,0.22485166682363658
Cote d'Ivoire,0.9116820297522232,"ARIMA(1,1,1)",44128483.61720792,249576482.51453006,777287986.3153809,0.1768134688517329
Croatia,19.48018707205744,Linear Trend,2542185649.7929106,7453263066.305628,14474579540.287859,0.3410835800611289
Curacao,23.33017314291554,"ARIMA(1,1,1)",92476987.98657678,330242150.2853365,575162905.7712125,0.2800278156700307
Cyprus,12.387071941904328,Holt-Winters,85619860.75575162,680328982.8679645,1097684318.4768395,0.12585067358855764
Czechia,3.1024842928243044,Random Forest,1663592985.1812901,4464178044.005718,7073117704.234945,0.37265381639853773
Denmark,2.6337467297563477,Holt-Winters,7719791640.014227,11108386897.292385,15902231915.945814,0.6949516353176255
Djibouti,1.845344800034599,Holt-Winters,29098442.37037163,89949861.28953063,224806143.4077606,0.32349624505489294
Dominica,18.150985676649608,Linear Trend,11843894.493264683,117476862.14968257,451133020.5698149,0.10081895512474484
Dominican Republic,8.501105596328618,"ARIMA(1,1,1)",7411478707.599409,9774852594.675629,12846701950.989481,0.7582189742315345
Ecuador,2.1264764826525013,Holt-Winters,195753671.87346587,1025748498.0981793,1593340057.931674,0.1908398328015191
"Egypt, Arab Rep.",4.473469621157975,Random Forest,300655862.77495897,4967722850.035086,23635367353.413536,0.06052186723195226
El Salvador,6.190213659093327,Holt-Winters,330036211.1148436,981890158.3280777,1684017763.650684,0.33612335179814384
Estonia,7.247343312726159,Random Forest,280564772.1577352,1086658846.473827,1629063092.1449184,0.258190298701528
