country,tourism_gdp_share_2019,champion_model,2025_P5,2025_median,2025_P95,risk_ratio,tier,confidence,years_used
"Congo, Dem. Rep.",0.116849889501494,Holt-Winters,-1454510058011.4673,83952082.47882706,4900797962867.377,-17325.479190802667,tier1,high,22
Sudan,3.22529979183032,Holt-Winters,-4256755678951.377,271342661.7300693,8367032431343.453,-15687.749400741055,tier1,high,22
Marshall Islands,8.630313603035509,Holt-Winters,-8079311570.769036,1128688.3908727719,11587270616.77147,-7158.141818506357,tier2,medium,22
Papua New Guinea,0.017090476871721,Holt-Winters,-123648891.64280024,122506.52671941425,219023914.56403983,-1009.3249311198124,tier1,high,22
Tajikistan,2.1576199002762584,Holt-Winters,-1150461196.0146723,10251836.53653673,3729733373.942254,-112.22000974308554,tier1,high,22
Guinea,0.077364477951962,Holt-Winters,-7900108.112274707,134257.47278313883,27275915.760079,-58.84296753474171,tier1,high,22
West Bank and Gaza,1.429947179502145,Holt-Winters,-1332088555.68307,47690644.242974624,5253342193.442902,-27.931863299986805,tier1,high,22
Solomon Islands,5.064369941060894,Holt-Winters,-27350595.450477865,3442517.1163313324,144073643.3097311,-7.9449410202570645,tier1,high,22
Zimbabwe,1.108198693981977,Holt-Winters,-91223134.26943466,19456467.74917599,556103958.1686442,-4.688576335922953,tier1,high,22
Nauru,1.2813211817719408,Holt-Winters,-3143519.8239787165,708573.5340824754,20039098.80085299,-4.43640592369743,tier2,medium,22
Eswatini,0.311220155941549,Holt-Winters,-13922297.745420292,3424598.8433816424,91395864.44747065,-4.065380613068428,tier1,high,22
Lebanon,16.891460107980723,Holt-Winters,-4037742213.887574,1057984472.9974489,26675494302.494297,-3.8164475159526376,tier1,high,22
Gabon,0.1700800708019166,Holt-Winters,-19184878.348941267,12374741.70076064,183722779.7156004,-1.5503255593417378,tier1,high,22
Nigeria,0.3099991103346219,Holt-Winters,-465591454.6400536,328677069.37030107,4639606635.606118,-1.4165620240318595,tier1,high,22
Myanmar,3.331774409822201,Holt-Winters,-1742236006.656353,2787501178.984864,27152518114.274704,-0.625017137137438,tier1,high,22
Afghanistan,0.4521410196173833,Holt-Winters,-18909214.28880939,55950758.41036199,452564644.61972916,-0.33796171537341363,tier2,medium,22
